school_type, school_no, school_status, longitude, latitude
"Primary",1704,"O",146.461,-36.3289
"Primary",1706,"O",145.572,-36.756
"Pri/Sec",1712,"O",144.114,-36.0474
"Primary",1713,"O",145.479,-36.3999
"Primary",1716,"O",147.748,-37.8158
"Primary",1727,"O",145.389,-36.466
"Primary",1739,"O",143.795,-37.4779
"Primary",1742,"O",146.222,-36.4602
"Primary",1743,"O",142.483,-38.3773
"Primary",1764,"O",145.894,-36.3265
"Primary",1771,"O",145.219,-36.2764
"Primary",1772,"O",147.015,-36.4692
"Primary",1788,"O",144.388,-36.8418
"Primary",1801,"O",145.422,-37.8245
"Primary",1813,"O",143.828,-37.5392
"Primary",1814,"O",145.133,-36.3133
"Primary",1844,"O",144.205,-36.5396
"Primary",1848,"O",144.33,-37.2357
"Primary",1855,"O",145.034,-37.0026
"Primary",1862,"O",143.136,-37.0059
"Primary",1866,"O",145.276,-37.9116
"Primary",1870,"O",146.081,-36.5163
"Primary",1874,"O",145.13,-36.3693
"Primary",1883,"O",147.096,-36.1206
"Primary",1886,"O",144.999,-37.809
"Primary",1887,"O",144.337,-38.1457
"Primary",1896,"O",144.996,-37.8572
"Primary",1901,"O",145.317,-37.9786
"Primary",1905,"O",148.181,-37.4977
"Primary",1910,"O",144.255,-37.9127
"Primary",1911,"O",144.424,-38.1707
"Primary",1912,"O",144.9,-37.8064
"Primary",1913,"O",144.595,-37.3121
"Primary",1915,"O",145.077,-37.6697
"Primary",1916,"O",144.304,-36.7279
"Primary",1918,"O",144.102,-37.6285
"Primary",1924,"O",145.854,-38.1329
"Primary",1938,"O",145.431,-36.1507
"Primary",1943,"O",142.858,-37.4328
"Primary",1951,"O",145.901,-38.0276
"Primary",1954,"O",147.159,-36.0658
"Primary",1960,"O",144.007,-37.5576
"Primary",1961,"O",144.5,-37.965
"Primary",1967,"O",146.699,-38.0137
"Primary",1975,"O",145.095,-37.6529
"Primary",1976,"O",144.278,-36.7558
"Primary",2005,"O",144.857,-37.1172
"Primary",2015,"O",143.984,-38.2445
"Primary",2017,"O",145.938,-38.0993
"Primary",2022,"O",143.857,-37.5512
"Primary",2028,"O",143.584,-38.3614
"Primary",2033,"O",145.043,-38.2218
"Primary",2035,"O",141.995,-37.7265
"Primary",2037,"O",143.786,-37.4292
"Primary",2041,"O",143.891,-37.4088
"Primary",2043,"O",143.87,-37.5498
"Primary",2048,"O",144.996,-37.9221
"Primary",2051,"O",144.219,-37.0578
"Primary",2054,"O",145.133,-37.6409
"Primary",2056,"O",146.077,-36.3389
"Primary",2058,"O",141.405,-37.5866
"Primary",2060,"O",145.206,-36.0575
"Primary",2061,"O",144.345,-38.1551
"Primary",2062,"O",145.099,-37.7039
"Primary",2065,"O",144.055,-38.0292
"Primary",2068,"O",145.289,-38.1116
"Primary",2069,"O",145.685,-36.0774
"Primary",2072,"O",143.175,-37.364
"Primary",2087,"O",144.302,-35.9095
"Primary",2090,"O",145.114,-37.5143
"Primary",2093,"O",143.895,-37.5429
"Primary",2103,"O",143.831,-37.566
"Primary",2104,"O",145.928,-38.1563
"Primary",2105,"O",145.215,-37.6917
"Primary",2114,"O",146.54,-38.2973
"Primary",2118,"O",141.684,-37.6018
"Primary",2122,"O",143.8,-35.6066
"Primary",2129,"O",145.758,-38.2035
"Primary",2134,"O",145.445,-36.0902
"Primary",2136,"O",146.4,-38.2389
"Primary",2142,"O",146.264,-38.1747
"Primary",2143,"O",144.359,-38.1569
"Pri/Sec",2162,"O",143.974,-38.5392
"Primary",2163,"O",145.259,-37.8433
"Primary",2167,"O",142.584,-36.4627
"Primary",2172,"O",145.197,-37.9329
"Primary",2178,"O",146.061,-38.2094
"Primary",2182,"O",146.478,-38.1491
"Primary",2185,"O",146.16,-38.2148
"Primary",2188,"O",145.357,-37.5216
"Primary",2189,"O",145.936,-38.2402
"Primary",2216,"O",147.845,-37.7662
"Primary",2222,"O",146.948,-36.1805
